# TargetP-2.0	Organism: Non-Plant	Timestamp: 20191212153647
# ID	Prediction	OTHER	SP	mTP	CS Position
g5641.t1	SP	0.000130	0.999869	0.000001	CS pos: 16-17. ACA-AS. Pr: 0.4873
g13530.t1	SP	0.116007	0.883840	0.000153	CS pos: 19-20. TIP-FT. Pr: 0.3552
g14472.t1	OTHER	0.999999	0.000001	0.000000	
g4106.t1	OTHER	0.729658	0.266917	0.003425	
g10513.t1	OTHER	0.999999	0.000001	0.000000	
g3428.t1	OTHER	0.999903	0.000033	0.000064	
g5616.t1	SP	0.000067	0.999933	0.000000	CS pos: 16-17. ACA-AN. Pr: 0.5270
g12510.t1	OTHER	0.999738	0.000099	0.000163	
g4106.t1	OTHER	0.729658	0.266917	0.003425	
g5616.t1	SP	0.000067	0.999933	0.000000	CS pos: 16-17. ACA-AN. Pr: 0.5270
g15484.t1	OTHER	0.999980	0.000010	0.000010	
g3428.t1	OTHER	0.999903	0.000033	0.000064	
g3679.t1	SP	0.000491	0.999366	0.000142	CS pos: 18-19. TFA-AR. Pr: 0.5598
